name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
easy transport to city,,Vanlse,55.69044,12.51403,Entire home/apt,375.0,27,1,0.02,1,0,0,
Modern apartment in Vestamager (CPH S),,Amager Vest,55.62453,12.57113,Entire home/apt,600.0,2,12,0.23,1,0,1,
Centralt på Østerbro tæt på Havnebad,,sterbro,55.70395,12.58706,Entire home/apt,798.0,4,16,0.32,1,0,4,
Apartment in the heart of Copenhagen,,Indre By,55.67011,12.59165,Entire home/apt,643.0,3,3,0.07,1,62,1,
Perfectly tiny apartment in beautiful Nørrebro,,Nrrebro,55.69649,12.54336,Entire home/apt,680.0,4,14,0.36,1,0,1,
Cozy family house near the beach and city,,Amager st,55.65352,12.62509,Entire home/apt,1000.0,7,11,0.2,1,29,2,
The heart of Copenhagen,,Indre By,55.67807,12.57558,Entire home/apt,700.0,4,13,0.23,1,0,4,
Spacious apartment in the heart of Vesterbro,,Vesterbro-Kongens Enghave,55.66493363533058,12.54380820809598,Entire home/apt,880.0,4,0,,1,37,0,
Cosy house in a quiet area near city centre,,Brnshj-Husum,55.70745,12.47072,Entire home/apt,2200.0,2,8,0.15,1,225,3,
Light and clean apartment in CPH,,Nrrebro,55.68951,12.56337,Entire home/apt,1067.0,2,17,0.32,1,61,4,
Hus i Vanløse,,Vanlse,55.69099,12.47326,Entire home/apt,700.0,3,30,0.55,1,0,6,
Cozy apartment with Tivoli & metro in backyard,,Vesterbro-Kongens Enghave,55.6719,12.56505,Entire home/apt,1211.0,2,20,0.49,1,5,4,
Large and sunny house in Copenhagen,,Vanlse,55.68678,12.47728,Entire home/apt,1000.0,7,6,0.11,1,0,3,
"Copenhagen, central spot by the lakes, female only",,Indre By,55.68265,12.56217,Private room,343.0,1,30,0.55,2,230,1,
Stylish apartment - balcony view of harbour,,Indre By,55.68607,12.61551,Entire home/apt,1000.0,5,26,0.48,1,0,2,
centralt og hyggeligt tæt på alt.,,Amager st,55.65917,12.61525,Entire home/apt,650.0,1,5,1.13,1,182,5,
Stylish and bright apartment in the best location,,Indre By,55.68585,12.56772,Entire home/apt,2500.0,3,6,0.11,1,0,0,
"Stor, lys lejlighed på stille vej i centrum af Kbh",,Amager Vest,55.66593,12.59782,Entire home/apt,1200.0,4,26,0.47,1,124,5,
Modern apartment on the popular canal islands,,Vesterbro-Kongens Enghave,55.64638,12.5535,Entire home/apt,1100.0,7,19,0.35,1,33,5,
Bright apartment in beautiful Copenhagen Ø.,,sterbro,55.70539,12.58761,Entire home/apt,699.0,1,10,0.18,1,82,7,
Cozy apartment in the heart of Østerbro,,sterbro,55.70689,12.58548,Entire home/apt,600.0,3,10,0.18,1,0,4,
Copenhagen Habour,,Indre By,55.67791,12.59313,Entire home/apt,1250.0,5,9,0.34,1,0,3,
"Cosy apartment on Nørrebro, Copenhagen",,Nrrebro,55.70123,12.55122,Entire home/apt,900.0,4,3,0.05,1,0,1,
City apartment CPH downtown  - good for families,,Indre By,55.68619,12.58339,Entire home/apt,1114.0,3,3,1.27,1,0,3,
Spacious and bright apartment at inner Østerbro,,sterbro,55.69847,12.5881,Entire home/apt,800.0,3,15,0.28,1,52,5,
Newly renovated stunning apartment by the water,,Indre By,55.68278,12.59326,Entire home/apt,3900.0,2,10,0.19,1,38,1,
Great apartment for the large family.,,Valby,55.66360939669335,12.5184299517706,Entire home/apt,1500.0,7,0,,1,335,0,
Music apartment,,Frederiksberg,55.67165,12.51364,Private room,500.0,1,31,0.58,2,0,6,
Copenhagen City Apartment with French balcony,,Indre By,55.68556,12.58465,Entire home/apt,800.0,4,113,2.05,1,94,10,
"Wonderful apartment in Vesterbro, Copenhagen",,Vesterbro-Kongens Enghave,55.66591,12.5466,Entire home/apt,700.0,3,8,0.15,1,0,0,
Modern apartment in nice neighbourhood,,Frederiksberg,55.6821,12.51889,Entire home/apt,1050.0,2,62,1.15,1,117,12,
House near Beach and Central Copenhagen by metro,,Amager st,55.65064,12.62599,Entire home/apt,1247.0,2,168,3.05,1,48,29,
In the heart of Copenhagen suited for families,,Nrrebro,55.68812,12.56168,Entire home/apt,1600.0,4,6,0.11,1,0,2,
Stylish and brand new  flat at the best location,,Indre By,55.68678,12.59699,Entire home/apt,3821.0,3,1,0.07,3,358,0,
hygge stedet,,Amager st,55.64395,12.61547,Private room,422.0,2,38,0.7,1,7,0,
Newly renovated cozy apartment in amazing Nørrebro,,Nrrebro,55.69083,12.55568,Entire home/apt,607.0,2,15,0.27,1,0,1,
Spacious apartment in Copenhagen centre,,Indre By,55.6873,12.58471,Entire home/apt,899.0,2,30,0.55,1,0,5,
Cosy apartment in Copenhagen’s hippest area,,Nrrebro,55.69184,12.55507,Entire home/apt,1035.0,2,20,0.37,1,38,4,
Longterm room in 150 years old flat,,Nrrebro,55.68776,12.56119,Private room,333.0,30,10,0.18,2,15,3,
"Cozy, bright and lovely apartment in Copenhagen",,Frederiksberg,55.68255,12.52446,Entire home/apt,1600.0,3,2,0.04,1,75,1,
"Perfect base for your visit, close to Central St",,Vesterbro-Kongens Enghave,55.6717,12.56448,Entire home/apt,1300.0,1,29,0.54,1,0,0,
Unique 2BR apartment with central location,,sterbro,55.70406,12.58794,Entire home/apt,750.0,5,11,2.05,1,117,11,
Pæn 3-værelses lejlighed,,Vanlse,55.6931,12.49252,Entire home/apt,980.0,3,6,0.11,1,0,0,
Sunny apartment with balcony in trendy Nørrebro,,Nrrebro,55.70086,12.54904,Entire home/apt,950.0,4,18,0.34,1,47,4,
Lækker moderne 2 værelses lejlighed,,Valby,55.66926,12.48618,Entire home/apt,700.0,4,5,0.09,1,0,0,
Studio in apartment available paid monthly 5500,,Nrrebro,55.69339,12.53626,Private room,284.0,30,8,0.15,2,143,0,
Cozy apartment close to the center of CPH,,Amager st,55.65999,12.61432,Private room,650.0,3,19,0.35,1,0,7,
Cozy flat placed where culture meets diversity!,,Bispebjerg,55.70254,12.5309,Entire home/apt,1343.0,2,10,0.21,1,26,4,
Nice 1-bedroom apartment with private balcony,,Brnshj-Husum,55.7055,12.49097,Entire home/apt,450.0,3,32,0.6,1,23,0,
Authentic & cozy apartment in heart of Copenhagen,,Indre By,55.68319,12.56285,Entire home/apt,800.0,4,18,0.35,1,5,7,
Lovely apartment in Copenhagen - close to metro.,,Amager Vest,55.65568,12.60271,Entire home/apt,750.0,5,6,0.15,1,0,0,
Apartment on Nørrebro with parking and balcony,,Nrrebro,55.69942,12.54614,Entire home/apt,500.0,6,19,0.35,1,0,4,
Lovely apartment in the bohemian Vesterbro,,Vesterbro-Kongens Enghave,55.66777,12.54463,Entire home/apt,775.0,4,24,0.48,1,31,6,
Hotel apartment with terrasse near city & Bella C,,Amager Vest,55.63875,12.60031,Entire home/apt,550.0,6,55,1.04,3,326,24,
Lovely two-roomed apartment in Copenhagen,,sterbro,55.7100573197459,12.564258411968508,Entire home/apt,1000.0,5,1,0.49,1,14,1,
Lovely private room in the heart of Copenhagen.,,sterbro,55.711926,12.560287,Private room,793.0,1,6,1.07,1,205,6,
"Bohemian, urban and compact",,Frederiksberg,55.68034,12.52485,Private room,500.0,1,3,0.05,2,14,2,
"Apartment with nice, quiet and central location",,sterbro,55.70687,12.57997,Entire home/apt,500.0,4,36,0.66,1,0,0,
Beautiful Haussmannian-style apartment in Østerbro,,sterbro,55.70165,12.58935,Entire home/apt,553.0,2,0,,1,247,0,
Central and bright apartment,,Vesterbro-Kongens Enghave,55.67061,12.55968,Entire home/apt,1250.0,4,10,0.19,1,118,2,
"Location, location, location.. Frederiksberg C",,Frederiksberg,55.67985,12.55078,Entire home/apt,1050.0,1,7,0.13,1,0,0,
Cozy park city apartment!,,Valby,55.64606,12.49456,Entire home/apt,557.0,2,30,0.55,1,0,0,
"Modern waterfront apartment, 2 private terraces",,Amager Vest,55.65812,12.56674,Entire home/apt,840.0,2,25,0.46,1,0,3,
Charming apartment in the centre of Nørrebro,,Nrrebro,55.68812,12.54614,Entire home/apt,350.0,3,48,0.89,1,0,0,
Modern studio apartment in the heart of Copenhagen,,Indre By,55.68653,12.58965,Entire home/apt,1200.0,1,36,0.66,1,5,8,
"""Hyggeligt"" Room in Typical Copenhagen Apartment",,Frederiksberg,55.68942,12.52759,Private room,800.0,4,31,0.57,1,89,1,
3 bedroom Apt. Frederiksberg (98 sq.m),,sterbro,55.70318,12.58999,Entire home/apt,1329.0,2,15,0.28,1,0,1,
Cocooning flat close to the beach,,Amager st,55.65168,12.61898,Entire home/apt,750.0,5,21,0.39,1,0,0,
"Central, Cosy apartment at Islandsbrygge",,Amager Vest,55.66654,12.58062,Entire home/apt,999.0,2,59,1.08,1,16,23,
Cozy 2R apt w/ balcony near metro and city center,,Amager st,55.66324,12.60586,Entire home/apt,750.0,5,10,0.19,1,7,4,
Hyggelig lejlighed på Østerbro i København,,sterbro,55.7047269,12.5784303,Entire home/apt,1100.0,2,1,0.65,1,82,1,
Light and colorfull 2 room flat,,Nrrebro,55.68505,12.55196,Entire home/apt,1200.0,2,44,0.84,1,0,0,
Cosy apartment downtown Copenhagen,,Indre By,55.67738,12.58363,Entire home/apt,900.0,3,23,0.43,1,0,0,
Very cozy apartment in Vesterbro,,Vesterbro-Kongens Enghave,55.66533,12.55652,Entire home/apt,1050.0,3,79,1.53,1,278,29,
Perfect apt in Copenhagen near airport-metro-beach,,Amager st,55.65174,12.63526,Entire home/apt,625.0,1,102,1.9,4,324,10,
Bright room for 2 in a quiet part of town,,Brnshj-Husum,55.70474,12.50819,Private room,300.0,3,39,0.72,2,0,7,
"Superb flat 3 rooms, great location",,sterbro,55.72025,12.57603,Private room,706.0,1,18,0.34,1,85,0,
KBH / Sluseholmen,,Vesterbro-Kongens Enghave,55.64634,12.54951,Private room,1900.0,1,60,1.1,1,365,0,
Værelse med udsigt ved Sortedam Søen,,Nrrebro,55.69186,12.56753,Private room,300.0,3,12,0.23,1,0,0,
Amazing apartment in charming neighbourhood,,Nrrebro,55.6899,12.546,Entire home/apt,1800.0,6,10,0.2,1,89,2,
Suburban living in the city - close to train/metro,,Vanlse,55.69169,12.51229,Entire home/apt,10000.0,7,0,,1,88,0,
Spacious townhouse near citycentre and Beach,,Amager st,55.65733,12.61233,Entire home/apt,1300.0,2,3,0.06,1,0,2,
Rooftop apartment in beautiful location,,Frederiksberg,55.68897,12.53943,Entire home/apt,1500.0,4,6,0.13,1,0,0,
Quiet and modern apartment with garden terrasse,,Nrrebro,55.70456,12.55136,Entire home/apt,800.0,3,4,0.08,1,0,0,
"Central appartement, near the city",,Amager Vest,55.65262,12.60163,Entire home/apt,600.0,2,26,0.51,1,0,4,
Boutique Apartments | Sønder BLVD | Long-term stay,,Vesterbro-Kongens Enghave,55.66766,12.55418,Entire home/apt,550.0,45,39,0.72,10,119,3,
Colorful family home in 'all-you-need'neighborhood,,Nrrebro,55.69375,12.54574,Entire home/apt,900.0,4,6,0.16,1,4,2,
Bright top-floor flat in lovely multicultural area,,Bispebjerg,55.7032,12.53011,Entire home/apt,729.0,2,2,0.04,1,0,0,
Cosy & spacious apartment in charming old building,,Amager Vest,55.66434,12.59909,Entire home/apt,900.0,2,12,0.27,1,0,7,
2 Room apartment with balcony by the lakes,,sterbro,55.69315,12.5701,Entire home/apt,710.0,7,14,0.28,1,0,1,
Quiet & Wonderfull Brønshøj,,Brnshj-Husum,55.7021,12.48676,Private room,385.0,2,108,2.01,1,61,23,
Charmerende townhouse close to the Metro,,Vanlse,55.68381,12.48642,Entire home/apt,990.0,1,7,0.13,1,85,0,
nice apartment in Copenhagen,,Nrrebro,55.70209,12.54724,Entire home/apt,795.0,2,22,0.4,1,0,0,
Large apartment in Copenhagen,,Vesterbro-Kongens Enghave,55.66306,12.54603,Entire home/apt,1000.0,5,6,0.12,1,0,0,
"Beauty, comfort & style in the center of it all",,Indre By,55.68205,12.58062,Entire home/apt,7134.0,3,2,0.04,3,360,0,
"Cosy Apt, next to the lakes",,sterbro,55.69659,12.57478,Entire home/apt,521.0,30,0,,1,83,0,
House close to everything,,Amager st,55.66047,12.63061,Entire home/apt,1300.0,2,24,0.46,1,0,4,
Cosy two-room apt in atractive area,,Nrrebro,55.69142,12.55852,Entire home/apt,554.0,5,19,0.46,1,0,6,
Modern apartment with wonderful view,,Vesterbro-Kongens Enghave,55.65668,12.54716,Entire home/apt,740.0,2,19,0.37,1,0,0,
Charming apartment in the heart of Copenhagen,,Indre By,55.68147,12.563,Entire home/apt,1200.0,3,34,0.65,1,1,11,
Urban apartment with a sunny Balcony,,Amager st,55.66552,12.61051,Entire home/apt,1000.0,4,25,0.47,1,117,2,
"Cosy house near beach, city & metro.",,Amager st,55.66038,12.62655,Entire home/apt,800.0,5,3,0.06,1,0,0,
Classic penthouse in sweetspot of Copenhagen,,Amager Vest,55.66326,12.58154,Entire home/apt,971.0,5,6,1.3,1,0,6,
Family friendly flat next to the lakes -Copenhagen,,sterbro,55.69706,12.57506,Entire home/apt,1400.0,3,7,0.13,1,11,3,
On the Airport metro line! Stunning views!,,Indre By,55.67181,12.5879,Entire home/apt,1000.0,8,15,0.28,2,0,0,
Unique offer: Beautiful home in city by waterside,,Amager Vest,55.66703,12.5798,Entire home/apt,1150.0,6,13,0.24,1,47,3,
100m2 apartment close to city center,,Bispebjerg,55.70385,12.53063,Entire home/apt,1900.0,1,10,0.19,1,363,0,
"Rummeligt, lyst værelse med adgang til have.",,sterbro,55.71145,12.57535,Private room,350.0,2,11,0.21,2,0,0,
Cozy apartment close to the city and the beach,,Amager Vest,55.66477,12.59999,Entire home/apt,1000.0,3,14,0.28,1,171,6,
"Cozy flat in the center of Nørrebro, Copenhagen",,Nrrebro,55.69216,12.54494,Entire home/apt,680.0,5,21,0.4,1,3,2,
"Vesterbro , Most hip area ved Sønder Boulevard",,Vesterbro-Kongens Enghave,55.66467,12.55355,Private room,750.0,3,18,0.34,2,82,13,
Family friendly house near city center &pub transp,,Brnshj-Husum,55.70664,12.48446,Entire home/apt,601.0,2,42,0.79,1,8,12,
"Luxurious, Central, Clean & Cosy apt. Inner City!",,Indre By,55.67084,12.59022,Entire home/apt,1450.0,2,44,0.82,1,0,1,
Nice big apartment w/great views and good location,,Frederiksberg,55.67399,12.54171,Entire home/apt,1695.0,6,15,0.28,1,0,3,
Artistic apartment filled with love and care!,,Nrrebro,55.699226,12.540617,Entire home/apt,1350.0,1,31,0.59,1,158,9,
Fully-serviced Apartment close to city center,,sterbro,55.70546,12.58846,Private room,2907.0,2,1,0.02,4,360,0,
Børnevenlig lejlighed med solrig altan,,Amager Vest,55.66167,12.57498,Entire home/apt,1400.0,3,22,0.43,1,6,8,
Cozy Vesterbro flat with balcony,,Vesterbro-Kongens Enghave,55.66482,12.54595,Entire home/apt,950.0,4,44,0.85,1,84,10,
100m2 apartment 100m from canals of Christianshavn,,Indre By,55.67281,12.59478,Entire home/apt,800.0,6,7,0.14,1,0,0,
Luxury residence with phenomenal views.,,Vesterbro-Kongens Enghave,55.6472,12.54768,Entire home/apt,750.0,2,7,0.14,1,0,5,
PERFECT 88m2 apartment in Copenhagen Center,,Indre By,55.68555,12.58531,Entire home/apt,1750.0,3,7,0.13,1,103,0,
Bright and modern appartment in Frederiksberg,,Frederiksberg,55.68729,12.52828,Entire home/apt,1250.0,6,19,0.35,1,0,7,
Spacious apartment with sea view and balcony,,Amager Vest,55.66199,12.57335,Entire home/apt,2000.0,3,8,0.15,1,0,0,
Cosy and bright central flat in Cph.,,Vesterbro-Kongens Enghave,55.66453,12.55542,Entire home/apt,600.0,4,6,0.11,1,0,0,
Waterfront stylish apartment - the perfect base,,Indre By,55.67153,12.58672,Entire home/apt,1983.0,2,61,1.13,1,63,21,
"Spacious privat family apartment, central in Valby",,Valby,55.66566,12.50637,Entire home/apt,1041.0,2,21,0.41,1,25,9,
1-room Apartment ready for Tour De France,,Nrrebro,55.68898,12.55909,Entire home/apt,660.0,1,16,0.3,1,0,0,
Charming house in a quiet area of Copenhagen,,Amager Vest,55.64369,12.61117,Entire home/apt,869.0,30,3,0.07,1,0,0,
Blue Room Midway Between Airport and City Center,,Amager st,55.65271,12.61243,Private room,303.0,1,103,1.91,2,0,16,
Lejlighed i gåafstand til Amager Strandpark,,Amager st,55.65458,12.62062,Entire home/apt,600.0,14,1,0.02,1,0,0,
Cozy apartment with sunny balcony in Copenhagen,,Vesterbro-Kongens Enghave,55.65021,12.53892,Entire home/apt,1000.0,3,7,0.15,1,23,2,
Charming villa w sunny backyard near city center,,Brnshj-Husum,55.70676,12.48484,Entire home/apt,1135.0,4,7,0.14,1,207,0,
Bright and airy apartment with 2 balconies,,Nrrebro,55.68731,12.54851,Entire home/apt,900.0,5,15,0.3,1,81,2,
130 m2 lejlighed på Sluseholmen,,Vesterbro-Kongens Enghave,55.64751,12.54878,Entire home/apt,2150.0,2,6,1.12,1,26,6,
2-room Nørrebro apartment,,Nrrebro,55.70193,12.54782,Entire home/apt,650.0,7,19,0.35,1,0,1,
"Stort lyst værelse med have, tæt på strand og city",,Amager st,55.65864,12.6236,Private room,713.0,2,70,1.3,1,16,8,
Luxury & private terrace for families/colleagues,,Indre By,55.69507,12.57407,Entire home/apt,2995.0,7,3,0.22,1,260,1,
Experience the authentic Copenhagen,,Nrrebro,55.69731,12.54906,Entire home/apt,1504.0,1,73,1.36,2,0,10,
Cosy and bright apartment in Norrebro,,Nrrebro,55.69704,12.54909,Entire home/apt,995.0,20,17,0.32,2,0,3,
Luxury flat - hippest neighbourhood in the world,,Nrrebro,55.69186,12.55989,Entire home/apt,1500.0,2,16,0.31,2,0,4,
Lejlighed med altan og byliv,,Bispebjerg,55.69793,12.53501,Entire home/apt,740.0,2,80,1.54,1,0,21,
"Spacious, bright  studio appartment
(52m2) Cph.",,Nrrebro,55.69191,12.54484,Entire home/apt,800.0,5,37,0.7,1,49,6,
"Lux. apt., near Tivoli and City Hall!",,Indre By,55.67181,12.57483,Entire home/apt,5271.0,1,31,0.58,2,0,9,
"Bright, personal & comfy Scandinavian 2-room",,Amager st,55.65556,12.61174,Entire home/apt,500.0,4,8,0.16,1,0,2,
Large family friendly apartment in charming area,,Frederiksberg,55.68285,12.53722,Entire home/apt,1050.0,14,18,0.35,1,0,3,
Stop looking - you found the place in CPH,,sterbro,55.71234,12.56829,Private room,550.0,3,18,0.34,1,0,0,
2  beds room in Copenhagen city,,Nrrebro,55.70425,12.54175,Private room,269.0,4,163,3.06,2,54,20,
Charming Copenhagen home,,sterbro,55.71486,12.57592,Entire home/apt,750.0,2,5,0.09,1,81,0,
Explore Copenhagen from a Central Home,,Indre By,55.67901,12.57307,Entire home/apt,2224.0,2,81,1.53,2,49,23,
Spacious and Authentic Apartment in Copenhagen,,Nrrebro,55.69219,12.5445,Entire home/apt,1700.0,4,25,0.49,1,0,4,
"Bright, charming apartment in picturesque CPH",,Vesterbro-Kongens Enghave,55.66714,12.55632,Entire home/apt,657.0,4,22,0.42,1,6,5,
Family house in green area close to beach,,Amager Vest,55.65192,12.56445,Entire home/apt,1600.0,3,20,0.4,1,0,5,
Appartment in the heart of Østerbro,,Indre By,55.69578,12.58111,Entire home/apt,1500.0,7,10,0.19,1,306,4,
Bright apartment,,Amager st,55.65401,12.61541,Entire home/apt,670.0,2,4,0.07,1,144,1,
Beautiful Beach House 10 minutes from City center,,Amager st,55.65339,12.63747,Entire home/apt,2000.0,2,15,0.28,1,0,4,
Bright flat in trendy neighbourhood,,sterbro,55.69828,12.58687,Entire home/apt,700.0,2,14,0.33,1,6,4,
"Family friendly townhouse, small garden,Copenhagen",,Nrrebro,55.70773,12.55232,Entire home/apt,892.0,4,5,0.1,1,73,0,
3  beds room Copenhagen city,,Nrrebro,55.70552,12.54299,Private room,316.0,4,153,2.85,2,56,23,
Beautiful apartment in the middle of Copenhagen,,Frederiksberg,55.68214,12.54936,Entire home/apt,1450.0,3,24,0.46,1,0,9,
"Large groups, 4BR luxury (near City Hall Square)",,Indre By,55.6722,12.57397,Entire home/apt,3143.0,2,29,0.55,2,0,10,
Superhost: BIG rooms - BIG beds - METRO to city,,sterbro,55.70156,12.57833,Private room,669.0,2,147,2.78,1,315,37,
"Large villa with own garden, close to city centre.",,Brnshj-Husum,55.70286,12.50272,Entire home/apt,2500.0,4,3,0.06,1,9,1,
Family friendly flat in calm green Vesterbro area,,Vesterbro-Kongens Enghave,55.67112,12.54515,Entire home/apt,10000.0,3,3,0.06,1,174,0,
Cosy 2-room apartment in Copenhagen NV. 65kvm2,,Bispebjerg,55.71085,12.53808,Entire home/apt,650.0,3,21,0.41,1,0,8,
Apartment with a view,,Nrrebro,55.69515,12.53623,Entire home/apt,480.0,4,5,0.1,1,0,2,
Cozy apartment with balcony near downtown.,,Bispebjerg,55.70054,12.52381,Entire home/apt,639.0,6,16,0.3,1,0,5,
"Spacious APT in Copenhagen, FRB",,Frederiksberg,55.68115220316395,12.506826373457168,Entire home/apt,1100.0,4,1,0.91,1,158,1,
Nordic decorated appartment with large balcony,,Nrrebro,55.69464,12.54521,Entire home/apt,995.0,5,8,0.15,1,0,4,
Big and light apartment in Copenhagen,,Nrrebro,55.69571,12.5489,Entire home/apt,1200.0,5,12,0.23,1,0,6,
Cosy apartment,,Nrrebro,55.68564,12.55309,Entire home/apt,1200.0,3,17,0.33,1,51,8,
Cph penthouse w/balcony near everything,,Amager st,55.66379,12.60301,Entire home/apt,1069.0,4,9,0.18,1,10,2,
Small cosy place in the middle of vibrant Nørrebro,,Nrrebro,55.69605,12.54427,Entire home/apt,600.0,2,131,2.46,1,0,6,
Spacious apartment in Vesterbro/South Harbour,,Vesterbro-Kongens Enghave,55.66001129150391,12.539728164672852,Entire home/apt,514.0,4,41,0.78,1,6,12,
Fully-serviced 2-bedroom Apartment,,sterbro,55.70478,12.58929,Private room,3402.0,2,1,0.02,4,353,0,
Cozy Apartment in Copenhagen for rent in October,,Nrrebro,55.70124,12.54559,Entire home/apt,335.0,21,7,0.13,2,27,0,
"The heart of Copenhagen, Frederiksberg",,Frederiksberg,55.67544,12.54967,Entire home/apt,2100.0,4,7,0.13,1,0,2,
CPH Central apt 60m2,,Amager Vest,55.66156,12.60053,Entire home/apt,850.0,3,50,0.95,1,0,5,
Stylish and Central Scandinavian Home,,Frederiksberg,55.68271,12.54747,Entire home/apt,1549.0,2,55,1.04,1,149,0,
Cosy Apartment Surrounded By Beautiful Parks,,Frederiksberg,55.67267,12.51388,Entire home/apt,900.0,3,11,0.31,1,73,5,
Beautiful apartment in the heart of Vesterbro,,Vesterbro-Kongens Enghave,55.66475,12.55009,Entire home/apt,1700.0,4,29,0.55,1,90,4,
House w garden close to city center/metro/airport,,Amager Vest,55.64111,12.58789,Entire home/apt,900.0,6,11,0.21,1,7,3,
Charming two room apartment in a cozy & calm area,,Amager Vest,55.66532,12.5979,Entire home/apt,650.0,3,29,0.54,1,0,0,
Lovely & bright apartment in vibrant Nørrebro,,Nrrebro,55.70101,12.54927,Entire home/apt,800.0,3,24,0.45,1,0,9,
Copenhagen Spacious family friendly appartement,,sterbro,55.70206,12.58939,Entire home/apt,2250.0,5,24,0.57,1,0,3,
Fully-serviced Penthouse Apartment with Balcony,,sterbro,55.70463,12.58907,Private room,5767.0,2,0,,4,302,0,
Charming 1BR apt. w/lake view and balcony,,Indre By,55.68233,12.56015,Entire home/apt,1400.0,3,32,0.6,1,0,1,
Fully-serviced 1-bedroom Apartment,,sterbro,55.70427,12.58812,Private room,2522.0,2,1,0.07,4,358,0,
Luxury Apartment - Close To Tivoli - Luxury For Up To 6 People - 2 Bathrooms (1185-1),,Indre By,55.67421,12.57268,Entire home/apt,2008.0,1,28,0.53,179,26,13,
"Modern, Art-Filled Apartment in the Heart of Copenhagen",,Vesterbro-Kongens Enghave,55.67277,12.55947,Entire home/apt,2235.0,2,67,1.28,1,0,25,
Apartment - 6 Persons - Close To Tivoli - Apartment - 3br - 6 Persons - Close To Tivoli (1187-1),,Vesterbro-Kongens Enghave,55.66503,12.53622,Entire home/apt,1807.0,1,29,0.58,179,60,20,
Luxury Apartment In The Heart Of Copenhagen - Holsteins Palæ - 2 Bedrooms - Close To Tivoli (1184-1),,Indre By,55.67399,12.57334,Entire home/apt,1599.0,1,12,0.23,179,282,5,
"Nice big apartment ""the City center""",,Indre By,55.67878,12.56826,Entire home/apt,4357.0,3,25,0.47,1,297,11,
Unik penthouse lejlighed tæt på centrum,,sterbro,55.70242,12.58345,Entire home/apt,1714.0,3,33,0.63,1,0,0,
Cozy new apartment in popular area in Alliancevej 8A,,Vesterbro-Kongens Enghave,55.64782,12.5532,Entire home/apt,7429.0,1,1,0.03,82,0,0,
Lovely family house close to Nørrebro and nature,,Brnshj-Husum,55.71072,12.50983,Entire home/apt,1400.0,3,7,0.17,1,166,0,
"Family friendly 5 room apartment in Nørrebro, CPH",,Nrrebro,55.69536,12.54878,Entire home/apt,850.0,4,6,0.12,1,0,2,
Lille hyggeligt hus tæt på København.,,Vanlse,55.69588,12.47095,Entire home/apt,900.0,5,10,0.2,1,0,3,
Spacious apartment in the heart of old Copenhagen,,Indre By,55.68597,12.59052,Entire home/apt,1250.0,4,5,0.37,1,6,4,
"Beautiful house, perfect for Cph family vacation",,Valby,55.66591,12.49653,Entire home/apt,775.0,7,4,0.08,1,113,0,
Beautiful centrally located apartment,,Amager Vest,55.62301,12.57452,Entire home/apt,1050.0,2,19,0.36,1,266,7,
Bright two-story apartment in trendy Nørrebro,,Nrrebro,55.69279,12.54561,Entire home/apt,595.0,2,11,0.21,1,0,0,
Central and cosy loft-apartment with sunny balcony,,Frederiksberg,55.67891,12.53724,Entire home/apt,1115.0,2,63,1.19,1,138,14,
Spacious & comfortable familyhome in downtown CPH,,Vesterbro-Kongens Enghave,55.6694,12.56406,Entire home/apt,2100.0,2,24,0.47,1,312,10,
Cozy home in the most charming part of Copenhagen,,Indre By,55.67136764526367,12.587258338928224,Entire home/apt,1339.0,3,4,0.08,1,0,1,
Large designer apartment in best area of CPH,,Vesterbro-Kongens Enghave,55.66658,12.5471,Entire home/apt,1900.0,4,3,0.06,1,227,1,
Flat with private garden,,sterbro,55.70277,12.57365,Entire home/apt,1114.0,4,14,0.28,1,30,7,
"Modern flat, great view, vibrant area",,Nrrebro,55.69299,12.55158,Entire home/apt,1000.0,3,37,0.72,1,0,7,
Islands Brygge - Perfect For Families - Gunløgsgade - 3 Bedrooms (1126-1),,Amager Vest,55.66531,12.57604,Entire home/apt,1443.0,1,1,0.42,179,26,1,
Light and cosy beach apartment in Amager,,Amager st,55.66134,12.62299,Entire home/apt,600.0,1,59,1.12,2,0,0,
Cozy canal-side Penthouse in Unbeatable location,,Indre By,55.67277,12.59116,Entire home/apt,2341.0,2,132,2.53,2,327,30,
Private Apartment - close to city and airport,,Amager st,55.65185,12.62899,Entire home/apt,650.0,1,46,0.87,1,293,0,
"Danish ""hygge"" close to nature and city center.",,Brnshj-Husum,55.70971,12.51018,Entire home/apt,1450.0,6,6,0.12,1,140,1,
Spacious  apartment in the heart of Nørrebro,,Nrrebro,55.68804,12.54843,Entire home/apt,900.0,5,12,0.23,1,0,3,
Very small single room in historic house,,Vanlse,55.69692,12.47751,Private room,200.0,2,67,1.28,3,268,28,
"Flot lejelighed i hjertet af Østerbro, bopaplads",,sterbro,55.70838,12.58452,Entire home/apt,850.0,14,14,0.27,1,0,0,
Great apartment in the heart of Vesterbro,,Vesterbro-Kongens Enghave,55.66867665302939,12.553856404790276,Entire home/apt,900.0,2,0,,1,30,0,
"Charming, spacious and modern Cityhouse in Cph.",,Amager st,55.6501,12.61812,Entire home/apt,1264.0,7,3,0.06,1,63,0,
Scandinavian luxury flat with stunning location,,Indre By,55.6927,12.57109,Entire home/apt,1250.0,4,12,0.23,1,172,0,
