name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2 rooms close to both city and sea,,Amager st,55.66605,12.60833,Entire home/apt,653.0,2,18,0.37,1,0,1,
Bright penthouse - great with kids!,,Nrrebro,55.69243,12.54606,Entire home/apt,850.0,5,45,0.35,1,6,5,
Visit wonderful Copenhagen as a lokal,,Vesterbro-Kongens Enghave,55.67087,12.54283,Entire home/apt,1496.0,2,54,0.44,2,37,1,
130m2 scandinavian designed apt. prime location,,Indre By,55.68409,12.56349,Entire home/apt,4000.0,2,28,0.22,1,365,5,
Nice big apartment in Copenhagen,,Valby,55.66641,12.50395,Entire home/apt,850.0,6,62,0.49,2,107,0,
Friendly SAFE Space in Copenhagen/ Nørrebro,,Nrrebro,55.69268,12.55486,Private room,379.0,3,63,0.75,1,0,0,
Room with Royal view in Copenhagen,,Indre By,55.68726,12.59275,Private room,652.0,2,38,0.3,1,267,0,
Around the corner from city centre,,Indre By,55.67637,12.59843,Entire home/apt,1094.0,20,22,0.18,1,89,1,
Lovely room - in the heart of CPH!,,Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,404.0,1,711,5.55,3,31,49,
Cozy living Copenhagen V - Midpoint,,Vesterbro-Kongens Enghave,55.67059,12.55651,Entire home/apt,1000.0,4,118,0.94,1,0,6,
Art&Design apt in hip Nørrebro - 2BR,,Nrrebro,55.69388,12.54725,Entire home/apt,793.0,3,91,0.73,1,0,11,
Room with a view over the lakes,,Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,843.0,1,377,2.94,3,0,3,
Bright vesterbro design apartment with big balcony,,Vesterbro-Kongens Enghave,55.67284,12.54717,Entire home/apt,2314.0,3,71,0.57,1,174,21,
"Lux. Room near Airport,Bella C, Metro & Citycenter",,Amager Vest,55.63543,12.587,Private room,395.0,3,134,1.06,2,303,18,
Bright & airy - central Copenhagen♥,,Nrrebro,55.69091,12.5549,Private room,719.0,3,29,0.23,1,0,0,
Top coziness - in the heart of Cph!,,Indre By,55.68207,12.57336,Entire home/apt,1487.0,2,209,1.62,1,294,11,
Childfriendly penthouse with private terrace,,Frederiksberg,55.67761,12.54673,Entire home/apt,1995.0,3,28,0.22,1,276,4,
Stunning apartment in heart of CPH,,Indre By,55.6864,12.5797,Entire home/apt,1000.0,6,3,0.03,1,0,0,
Beautiful spacious apartment,,Frederiksberg,55.68266,12.53538,Entire home/apt,1800.0,4,26,0.23,1,82,7,
Sunny and Stylish - longterm booking discount,,Amager Vest,55.66582,12.59675,Entire home/apt,1095.0,4,97,0.76,1,20,14,
Comfortable Bed & Bikes (The Room),,Nrrebro,55.70001,12.54819,Private room,650.0,3,47,0.37,2,112,0,
In the center of trendy Noerrebro.,,Nrrebro,55.68922,12.55646,Entire home/apt,689.0,4,80,0.63,1,2,2,
Really cozy apartment with 2 bikes,,Frederiksberg,55.68577,12.53804,Entire home/apt,857.0,4,298,2.34,1,150,11,
Charming House - 5 km.to CPH Center,,Amager Vest,55.63989,12.6047,Entire home/apt,1200.0,7,14,0.11,1,267,3,
Spacious Family Retreat at Nørrebro,,Nrrebro,55.69966,12.54517,Entire home/apt,2287.0,2,83,0.65,1,176,18,
In the ♥ of Copenhagen habour area,,Indre By,55.69816,12.59008,Entire home/apt,1000.0,10,10,0.08,1,4,0,
Lovely bright apartment with view,,sterbro,55.70039,12.58632,Entire home/apt,750.0,4,46,0.41,1,314,7,
197m2! Beautiful apartment (family cargobike incl),,sterbro,55.7085747,12.5761092,Entire home/apt,1750.0,5,1,0.48,1,85,1,
Small Penthouse with balcony.,,Indre By,55.68535,12.56127,Entire home/apt,625.0,3,74,0.58,2,23,1,
Copenhagen town house apartment,,Indre By,55.68189,12.57498,Entire home/apt,1487.0,3,21,0.19,1,78,1,
Spacious flat in flavorful neighbh.,,Nrrebro,55.69013,12.55882,Entire home/apt,1450.0,3,33,0.27,1,20,10,
Great Family Apartment,,Nrrebro,55.69035,12.56202,Entire home/apt,900.0,3,41,0.36,1,0,7,
